"p1","eff"
"http://dbpedia.org/property/vicepresident",1
"http://dbpedia.org/ontology/leader",1
"http://dbpedia.org/property/justice",1
"http://dbpedia.org/property/with",1
"http://dbpedia.org/ontology/developer",1
"http://dbpedia.org/ontology/illustrator",1
"http://dbpedia.org/property/studio",1
"http://dbpedia.org/property/obverseDesign",1
"http://dbpedia.org/property/employer",1
"http://dbpedia.org/property/text",1
"http://dbpedia.org/ontology/owner",1
"http://dbpedia.org/property/previousEditor",1
"http://dbpedia.org/property/artisticdirector",1
"http://dbpedia.org/property/leader",1
"http://dbpedia.org/ontology/distributor",1
"http://dbpedia.org/property/circuitJustice",1
"http://dbpedia.org/property/leadfigures",1
"http://dbpedia.org/property/leaderName",1
"http://dbpedia.org/property/company",1
"http://dbpedia.org/property/mother",1
"http://dbpedia.org/property/sign",1
"http://dbpedia.org/ontology/occupation",1
"http://dbpedia.org/property/judges",1
"http://dbpedia.org/property/coverArtist",1
"http://dbpedia.org/property/creatorname",1
"http://dbpedia.org/property/rd1Team",1
"http://dbpedia.org/property/distributor",1
"http://dbpedia.org/property/notableWorks",1
"http://dbpedia.org/ontology/owningCompany",1
